name,category,subcategory,grade,standard,density,tensile_strength_min,tensile_strength_max,yield_strength_min,yield_strength_max,elongation,hardness,elastic_modulus,thermal_conductivity,specific_heat,melting_point_min,melting_point_max,max_service_temp,cost_per_kg_min,cost_per_kg_max,cost_currency,applications,equivalent_grades,composition,description,source_name,is_verified
Birch Wood (Green),Composite,Wood,Green,-,0.79,66,88,33,44,2.0,-,10.4,0.2,1800,,,100,30,150,INR,Raw,-,-,Standard Wood variant.,Wood Handbook,True
Hickory Wood (Dry),Composite,Wood,Dry,-,0.8,117,143,54,66,1.0,-,15,0.15,1600,,,100,50,200,INR,Structural,-,-,Standard Wood variant.,Wood Handbook,True
Hickory Wood (Green),Composite,Wood,Green,-,0.96,78,104,36,48,2.0,-,12.0,0.2,1800,,,100,30,150,INR,Raw,-,-,Standard Wood variant.,Wood Handbook,True
Mahogany Wood (Dry),Composite,Wood,Dry,-,0.65,72,88,36,44,1.0,-,10,0.15,1600,,,100,50,200,INR,Structural,-,-,Standard Wood variant.,Wood Handbook,True
Mahogany Wood (Green),Composite,Wood,Green,-,0.78,48,64,24,32,2.0,-,8.0,0.2,1800,,,100,30,150,INR,Raw,-,-,Standard Wood variant.,Wood Handbook,True
Teak Wood (Dry),Composite,Wood,Dry,-,0.65,81,99,40,49,1.0,-,11,0.15,1600,,,100,50,200,INR,Structural,-,-,Standard Wood variant.,Wood Handbook,True
Teak Wood (Green),Composite,Wood,Green,-,0.78,54,72,27,36,2.0,-,8.8,0.2,1800,,,100,30,150,INR,Raw,-,-,Standard Wood variant.,Wood Handbook,True
Pine Wood (Dry),Composite,Wood,Dry,-,0.45,36,44,18,22,1.0,-,8,0.15,1600,,,100,50,200,INR,Structural,-,-,Standard Wood variant.,Wood Handbook,True
Pine Wood (Green),Composite,Wood,Green,-,0.54,24,32,12,16,2.0,-,6.4,0.2,1800,,,100,30,150,INR,Raw,-,-,Standard Wood variant.,Wood Handbook,True
Fir Wood (Dry),Composite,Wood,Dry,-,0.5,45,55,22,27,1.0,-,9,0.15,1600,,,100,50,200,INR,Structural,-,-,Standard Wood variant.,Wood Handbook,True
Fir Wood (Green),Composite,Wood,Green,-,0.6,30,40,15,20,2.0,-,7.2,0.2,1800,,,100,30,150,INR,Raw,-,-,Standard Wood variant.,Wood Handbook,True
Spruce Wood (Dry),Composite,Wood,Dry,-,0.4,40,49,19,24,1.0,-,8,0.15,1600,,,100,50,200,INR,Structural,-,-,Standard Wood variant.,Wood Handbook,True
Spruce Wood (Green),Composite,Wood,Green,-,0.48,27,36,13,17,2.0,-,6.4,0.2,1800,,,100,30,150,INR,Raw,-,-,Standard Wood variant.,Wood Handbook,True
Cedar Wood (Dry),Composite,Wood,Dry,-,0.35,31,38,16,19,1.0,-,7,0.15,1600,,,100,50,200,INR,Structural,-,-,Standard Wood variant.,Wood Handbook,True
Cedar Wood (Green),Composite,Wood,Green,-,0.42,21,28,10,14,2.0,-,5.6,0.2,1800,,,100,30,150,INR,Raw,-,-,Standard Wood variant.,Wood Handbook,True
Redwood Wood (Dry),Composite,Wood,Dry,-,0.42,43,52,21,26,1.0,-,8,0.15,1600,,,100,50,200,INR,Structural,-,-,Standard Wood variant.,Wood Handbook,True
Redwood Wood (Green),Composite,Wood,Green,-,0.5,28,38,14,19,2.0,-,6.4,0.2,1800,,,100,30,150,INR,Raw,-,-,Standard Wood variant.,Wood Handbook,True
Hemlock Wood (Dry),Composite,Wood,Dry,-,0.48,49,60,25,30,1.0,-,9,0.15,1600,,,100,50,200,INR,Structural,-,-,Standard Wood variant.,Wood Handbook,True
Hemlock Wood (Green),Composite,Wood,Green,-,0.58,33,44,16,22,2.0,-,7.2,0.2,1800,,,100,30,150,INR,Raw,-,-,Standard Wood variant.,Wood Handbook,True
Cypress Wood (Dry),Composite,Wood,Dry,-,0.46,40,49,19,24,1.0,-,8,0.15,1600,,,100,50,200,INR,Structural,-,-,Standard Wood variant.,Wood Handbook,True
Cypress Wood (Green),Composite,Wood,Green,-,0.55,27,36,13,17,2.0,-,6.4,0.2,1800,,,100,30,150,INR,Raw,-,-,Standard Wood variant.,Wood Handbook,True
Balsa Wood (Dry),Composite,Wood,Dry,-,0.15,13,16,6,7,1.0,-,3,0.15,1600,,,100,50,200,INR,Structural,-,-,Standard Wood variant.,Wood Handbook,True
Balsa Wood (Green),Composite,Wood,Green,-,0.18,9,12,4,5,2.0,-,2.4,0.2,1800,,,100,30,150,INR,Raw,-,-,Standard Wood variant.,Wood Handbook,True
Ebony Wood (Dry),Composite,Wood,Dry,-,1.05,135,165,72,88,1.0,-,18,0.15,1600,,,100,50,200,INR,Structural,-,-,Standard Wood variant.,Wood Handbook,True
Ebony Wood (Green),Composite,Wood,Green,-,1.26,90,120,48,64,2.0,-,14.4,0.2,1800,,,100,30,150,INR,Raw,-,-,Standard Wood variant.,Wood Handbook,True
Rosewood Wood (Dry),Composite,Wood,Dry,-,0.85,108,132,54,66,1.0,-,15,0.15,1600,,,100,50,200,INR,Structural,-,-,Standard Wood variant.,Wood Handbook,True
Rosewood Wood (Green),Composite,Wood,Green,-,1.02,72,96,36,48,2.0,-,12.0,0.2,1800,,,100,30,150,INR,Raw,-,-,Standard Wood variant.,Wood Handbook,True
Lignum Vitae Wood (Dry),Composite,Wood,Dry,-,1.25,144,176,76,93,1.0,-,20,0.15,1600,,,100,50,200,INR,Structural,-,-,Standard Wood variant.,Wood Handbook,True
Lignum Vitae Wood (Green),Composite,Wood,Green,-,1.5,96,128,51,68,2.0,-,16.0,0.2,1800,,,100,30,150,INR,Raw,-,-,Standard Wood variant.,Wood Handbook,True
Concrete M10,Ceramic,Concrete,M10,-,2.4,1.0,1.5,10,12.0,0.1,-,22.0,1.7,800,,,400,2,8,INR,Construction,-,-,Standard Concrete variant.,ACI 318,True
Concrete M15,Ceramic,Concrete,M15,-,2.4,1.5,2.25,15,18.0,0.1,-,23.0,1.7,800,,,400,2,8,INR,Construction,-,-,Standard Concrete variant.,ACI 318,True
Concrete M20,Ceramic,Concrete,M20,-,2.4,2.0,3.0,20,24.0,0.1,-,24.0,1.7,800,,,400,2,8,INR,Construction,-,-,Standard Concrete variant.,ACI 318,True
Concrete M25,Ceramic,Concrete,M25,-,2.4,2.5,3.75,25,30.0,0.1,-,25.0,1.7,800,,,400,2,8,INR,Construction,-,-,Standard Concrete variant.,ACI 318,True
Concrete M30,Ceramic,Concrete,M30,-,2.4,3.0,4.5,30,36.0,0.1,-,26.0,1.7,800,,,400,2,8,INR,Construction,-,-,Standard Concrete variant.,ACI 318,True
Concrete M35,Ceramic,Concrete,M35,-,2.4,3.5,5.25,35,42.0,0.1,-,27.0,1.7,800,,,400,2,8,INR,Construction,-,-,Standard Concrete variant.,ACI 318,True
Concrete M40,Ceramic,Concrete,M40,-,2.4,4.0,6.0,40,48.0,0.1,-,28.0,1.7,800,,,400,2,8,INR,Construction,-,-,Standard Concrete variant.,ACI 318,True
Concrete M50,Ceramic,Concrete,M50,-,2.4,5.0,7.5,50,60.0,0.1,-,30.0,1.7,800,,,400,2,8,INR,Construction,-,-,Standard Concrete variant.,ACI 318,True
Concrete M60,Ceramic,Concrete,M60,-,2.4,6.0,9.0,60,72.0,0.1,-,32.0,1.7,800,,,400,2,8,INR,Construction,-,-,Standard Concrete variant.,ACI 318,True
Concrete M80,Ceramic,Concrete,M80,-,2.4,8.0,12.0,80,96.0,0.1,-,36.0,1.7,800,,,400,2,8,INR,Construction,-,-,Standard Concrete variant.,ACI 318,True
Alumina 85%,Ceramic,Ceramic,-,-,3.4,135,165,135,165,0.0,1100 HV,250,30.0,800,2000,2100,1500,2000,5000,INR,High Temp,-,-,Standard Ceramic variant.,NIST,True
Alumina 90%,Ceramic,Ceramic,-,-,3.6,180,220,180,220,0.0,1200 HV,300,30.0,800,2000,2100,1500,2000,5000,INR,High Temp,-,-,Standard Ceramic variant.,NIST,True
Alumina 95%,Ceramic,Ceramic,-,-,3.7,225,275,225,275,0.0,1300 HV,350,30.0,800,2000,2100,1500,2000,5000,INR,High Temp,-,-,Standard Ceramic variant.,NIST,True
Alumina 99%,Ceramic,Ceramic,-,-,3.9,270,330,270,330,0.0,1500 HV,380,30.0,800,2000,2100,1500,2000,5000,INR,High Temp,-,-,Standard Ceramic variant.,NIST,True
Alumina 99.5%,Ceramic,Ceramic,-,-,3.95,315,385,315,385,0.0,1600 HV,390,30.0,800,2000,2100,1500,2000,5000,INR,High Temp,-,-,Standard Ceramic variant.,NIST,True
Alumina 99.9%,Ceramic,Ceramic,-,-,3.98,360,440,360,440,0.0,1800 HV,400,30.0,800,2000,2100,1500,2000,5000,INR,High Temp,-,-,Standard Ceramic variant.,NIST,True
Zirconia Y-TZP,Ceramic,Ceramic,-,-,6.0,810,990,810,990,0.0,1300 HV,210,30.0,800,2000,2100,1500,2000,5000,INR,High Temp,-,-,Standard Ceramic variant.,NIST,True
Zirconia Mg-PSZ,Ceramic,Ceramic,-,-,5.7,630,770,630,770,0.0,1100 HV,200,30.0,800,2000,2100,1500,2000,5000,INR,High Temp,-,-,Standard Ceramic variant.,NIST,True
Zirconia Ce-TZP,Ceramic,Ceramic,-,-,6.2,720,880,720,880,0.0,1200 HV,205,30.0,800,2000,2100,1500,2000,5000,INR,High Temp,-,-,Standard Ceramic variant.,NIST,True
Zirconia CSZ,Ceramic,Ceramic,-,-,5.8,450,550,450,550,0.0,1000 HV,180,30.0,800,2000,2100,1500,2000,5000,INR,High Temp,-,-,Standard Ceramic variant.,NIST,True
SiC Reaction Bonded,Ceramic,Ceramic,-,-,3.0,225,275,225,275,0.0,2000 HV,350,30.0,800,2000,2100,1500,2000,5000,INR,High Temp,-,-,Standard Ceramic variant.,NIST,True
SiC Sintered,Ceramic,Ceramic,-,-,3.1,360,440,360,440,0.0,2500 HV,410,30.0,800,2000,2100,1500,2000,5000,INR,High Temp,-,-,Standard Ceramic variant.,NIST,True
SiC CVD,Ceramic,Ceramic,-,-,3.2,450,550,450,550,0.0,2800 HV,450,30.0,800,2000,2100,1500,2000,5000,INR,High Temp,-,-,Standard Ceramic variant.,NIST,True
SiC Hot Pressed,Ceramic,Ceramic,-,-,3.2,540,660,540,660,0.0,3000 HV,470,30.0,800,2000,2100,1500,2000,5000,INR,High Temp,-,-,Standard Ceramic variant.,NIST,True
Si3N4 Reaction Bonded,Ceramic,Ceramic,-,-,2.8,180,220,180,220,0.0,1000 HV,250,30.0,800,2000,2100,1500,2000,5000,INR,High Temp,-,-,Standard Ceramic variant.,NIST,True
Si3N4 Sintered,Ceramic,Ceramic,-,-,3.2,630,770,630,770,0.0,1500 HV,310,30.0,800,2000,2100,1500,2000,5000,INR,High Temp,-,-,Standard Ceramic variant.,NIST,True
Si3N4 Hot Pressed,Ceramic,Ceramic,-,-,3.3,810,990,810,990,0.0,1800 HV,330,30.0,800,2000,2100,1500,2000,5000,INR,High Temp,-,-,Standard Ceramic variant.,NIST,True
Boron Carbide (B4C),Ceramic,Ceramic,-,-,2.5,315,385,315,385,0.0,3000 HV,450,30.0,800,2000,2100,1500,2000,5000,INR,High Temp,-,-,Standard Ceramic variant.,NIST,True
Aluminum Nitride (AlN),Ceramic,Ceramic,-,-,3.26,270,330,270,330,0.0,1100 HV,330,30.0,800,2000,2100,1500,2000,5000,INR,High Temp,-,-,Standard Ceramic variant.,NIST,True
Titanium Carbide (TiC),Ceramic,Ceramic,-,-,4.93,360,440,360,440,0.0,2800 HV,440,30.0,800,2000,2100,1500,2000,5000,INR,High Temp,-,-,Standard Ceramic variant.,NIST,True
Soda-Lime Glass (Sheet),Ceramic,Glass,Sheet,-,2.5,40,60,40,60,0.0,500 HV,70,1.2,800,1000,1500,500,100,800,INR,Optics,-,-,Standard Glass variant.,ACerS,True
Soda-Lime Glass (Tube),Ceramic,Glass,Tube,-,2.5,40,60,40,60,0.0,500 HV,70,1.2,800,1000,1500,500,100,800,INR,Optics,-,-,Standard Glass variant.,ACerS,True
Borosilicate Glass (Sheet),Ceramic,Glass,Sheet,-,2.2,52,78,52,78,0.0,500 HV,64,1.2,800,1000,1500,500,100,800,INR,Optics,-,-,Standard Glass variant.,ACerS,True
Borosilicate Glass (Tube),Ceramic,Glass,Tube,-,2.2,52,78,52,78,0.0,500 HV,64,1.2,800,1000,1500,500,100,800,INR,Optics,-,-,Standard Glass variant.,ACerS,True
Aluminosilicate Glass (Sheet),Ceramic,Glass,Sheet,-,2.6,64,96,64,96,0.0,500 HV,85,1.2,800,1000,1500,500,100,800,INR,Optics,-,-,Standard Glass variant.,ACerS,True
Aluminosilicate Glass (Tube),Ceramic,Glass,Tube,-,2.6,64,96,64,96,0.0,500 HV,85,1.2,800,1000,1500,500,100,800,INR,Optics,-,-,Standard Glass variant.,ACerS,True
Fused Silica (Sheet),Ceramic,Glass,Sheet,-,2.2,88,132,88,132,0.0,500 HV,72,1.2,800,1000,1500,500,100,800,INR,Optics,-,-,Standard Glass variant.,ACerS,True
Fused Silica (Tube),Ceramic,Glass,Tube,-,2.2,88,132,88,132,0.0,500 HV,72,1.2,800,1000,1500,500,100,800,INR,Optics,-,-,Standard Glass variant.,ACerS,True
Lead Glass (Sheet),Ceramic,Glass,Sheet,-,3.5,36,54,36,54,0.0,500 HV,60,1.2,800,1000,1500,500,100,800,INR,Optics,-,-,Standard Glass variant.,ACerS,True
Lead Glass (Tube),Ceramic,Glass,Tube,-,3.5,36,54,36,54,0.0,500 HV,60,1.2,800,1000,1500,500,100,800,INR,Optics,-,-,Standard Glass variant.,ACerS,True
Chalcogenide Glass (Sheet),Ceramic,Glass,Sheet,-,4.5,24,36,24,36,0.0,500 HV,40,1.2,800,1000,1500,500,100,800,INR,Optics,-,-,Standard Glass variant.,ACerS,True
Chalcogenide Glass (Tube),Ceramic,Glass,Tube,-,4.5,24,36,24,36,0.0,500 HV,40,1.2,800,1000,1500,500,100,800,INR,Optics,-,-,Standard Glass variant.,ACerS,True
Sapphire (Sheet),Ceramic,Glass,Sheet,-,3.98,320,480,320,480,0.0,500 HV,345,1.2,800,1000,1500,500,100,800,INR,Optics,-,-,Standard Glass variant.,ACerS,True
Sapphire (Tube),Ceramic,Glass,Tube,-,3.98,320,480,320,480,0.0,500 HV,345,1.2,800,1000,1500,500,100,800,INR,Optics,-,-,Standard Glass variant.,ACerS,True
Fluorozirconate (Sheet),Ceramic,Glass,Sheet,-,4.3,32,48,32,48,0.0,500 HV,50,1.2,800,1000,1500,500,100,800,INR,Optics,-,-,Standard Glass variant.,ACerS,True
Fluorozirconate (Tube),Ceramic,Glass,Tube,-,4.3,32,48,32,48,0.0,500 HV,50,1.2,800,1000,1500,500,100,800,INR,Optics,-,-,Standard Glass variant.,ACerS,True
